"ID","start_age","grid","death_day","death_age"
230,79,2,3252,87.9096
231,60,3,4337,71.8822
232,50,3,10381,78.4411
233,56,1,13919,94.1342
234,32,1,12333,65.789
235,42,2,13188,78.1315
236,49,1,14850,89.6849
237,39,1,11266,69.8658
238,73,2,6117,89.7589
239,37,2,15915,80.6027
240,71,1,128,71.3507
241,56,1,10033,83.4877
242,62,3,10017,89.4438
243,38,1,18692,89.211
244,61,3,5558,76.2274
245,44,3,1835,49.0274
246,66,2,6525,83.8767
247,49,3,7660,69.9863
248,85,3,1806,89.9479
249,85,3,139,85.3808
250,66,1,3089,74.463
251,42,2,13637,79.3616
252,40,1,13364,76.6137
253,59,2,10902,88.8685
254,42,3,16504,87.2164
255,55,1,15104,96.3808
256,70,2,4680,82.8219
257,37,3,18492,87.663
258,49,3,20399,104.8877
259,52,3,9456,77.9068
260,75,3,3818,85.4603
261,80,1,928,82.5425
262,76,3,8991,100.6329
263,63,2,6128,79.789
264,83,1,3874,93.6137
265,55,1,14036,93.4548
266,58,3,13336,94.537
267,46,2,9139,71.0384
268,46,2,20213,101.3781
269,30,1,24510,97.1507
270,54,1,6635,72.1781
271,75,3,5078,88.9123
272,30,3,14119,68.6822
273,33,2,18692,84.211
274,37,2,10992,67.1151
275,69,1,11445,100.3562
276,66,2,6238,83.0904
277,85,2,747,87.0466
278,52,2,10104,79.6822
279,33,1,19869,87.4356
280,62,1,8931,86.4685
281,68,3,6877,86.8411
282,36,2,16995,82.5616
283,49,2,4158,60.3918
284,40,3,10243,68.063
285,32,2,13974,70.2849
286,49,3,14022,87.4164
287,33,1,17600,81.2192
288,40,1,17116,86.8932
289,32,1,14608,72.0219
290,63,1,3338,72.1452
291,44,3,11177,74.6219
292,34,1,17772,82.6904
293,33,3,6119,49.7644
294,76,3,5796,91.8795
295,68,2,4742,80.9918
296,72,3,2474,78.7781
297,87,1,1094,89.9973
298,34,3,21646,93.3041
299,34,2,15005,75.1096
300,70,1,6855,88.7808
301,69,2,6828,87.7068
302,30,3,3732,40.2247
303,69,3,5063,82.8712
304,66,1,6735,84.4521
305,61,1,1330,64.6438
306,53,1,10708,82.337
307,37,3,19420,90.2055
308,30,2,1959,35.3671
309,51,1,10266,79.126
310,53,2,6670,71.274
311,48,2,4557,60.4849
312,52,2,8326,74.811
313,65,1,7378,85.2137
314,32,1,18557,82.8411
315,46,2,16945,92.4247
316,71,1,7696,92.0849
317,73,1,7151,92.5918
318,41,3,15357,83.074
319,46,1,14278,85.1178
320,74,2,1567,78.2932
321,74,1,6792,92.6082
322,44,2,7228,63.8027
323,36,1,17242,83.2384
324,65,3,10147,92.8
325,34,1,18641,85.0712
326,31,2,19514,84.463
327,90,1,1808,94.9534
328,31,1,21627,90.2521
329,46,3,10477,74.7041
330,79,1,518,80.4192
331,60,1,5226,74.3178
332,43,3,6789,61.6
333,67,3,796,69.1808
334,73,2,7225,92.7945
335,45,1,13194,81.1479
336,53,2,11569,84.6959
337,64,2,8113,86.2274
338,61,3,14129,99.7096
339,61,2,1820,65.9863
340,86,1,2451,92.7151
341,49,2,2650,56.2603
342,35,2,19214,87.6411
343,55,2,9451,80.8932
344,40,2,2551,46.989
345,53,3,11638,84.8849
346,47,1,14361,86.3452
347,87,1,5588,102.3096
348,48,1,9681,74.5233
349,40,2,6225,57.0548
350,60,3,13888,98.0493
351,36,1,19634,89.7918
352,85,1,1057,87.8959
353,55,1,13881,93.0301
354,37,2,12798,72.063
355,60,3,37,60.1014
356,88,1,174,88.4767
357,63,3,6109,79.737
358,50,2,8182,72.4164
359,45,3,13038,80.7205
360,73,1,2227,79.1014
361,36,1,25145,104.8904
362,39,2,14345,78.3014
363,77,1,3817,87.4575
364,44,3,15202,85.6493
365,47,1,6945,66.0274
366,69,2,346,69.9479
367,39,1,12782,74.0192
368,30,3,21371,88.5507
369,49,1,6741,67.4685
370,53,3,7299,72.9973
371,50,3,1457,53.9918
372,46,3,15261,87.811
373,75,3,1069,77.9288
374,51,2,11096,81.4
